Type,Titles (CIVIL SERVICE and non-civil service),Standard Titles,Area
Public Library,children's librarian,Librarian I,Librarian
Public Library,CIRC LIBRARY CLERK,Library Clerk,Support Staff
Public Library,circulation assistant,Library Clerk,Support Staff
Public Library,circulation clerk,Library Clerk,Support Staff
Public Library,CIRCULATION CLERK,Library Clerk,Support Staff
Public Library,CIRCULATION CLERK ,Library Clerk,Support Staff
Public Library,circulation supervisor,Circulation Manager,Support Staff
Public Library,CIRCULATION SUPERVISOR,Circulation Manager,Support Staff
Public Library,CLEANER,Cleaner,Building/Custodial Staff
Public Library,CLEANER ,Cleaner,Building/Custodial Staff
Public Library,CLEANER (1KJ) PART TIME,Cleaner,Building/Custodial Staff
Public Library,"CLEANER (1KK, 1KJ, 1KL)",Cleaner,Building/Custodial Staff
Public Library,CLEANER (1KK),Cleaner,Building/Custodial Staff
Public Library,CLEANER (1KK) FULL TIME,Cleaner,Building/Custodial Staff
Public Library,"CLEANER (PART-TIME, SUBSTITUTE)",Cleaner,Building/Custodial Staff
Public Library,CLEANER (PART-TIME),Cleaner,Building/Custodial Staff
Public Library,CLEANER P/T,Cleaner,Building/Custodial Staff
Public Library,CLEANER P/T (1KJ),Cleaner,Building/Custodial Staff
Public Library,CLEANER P/T (SUBSTITUTE) (1KL),Cleaner,Building/Custodial Staff
Public Library,"CLEANER, P-T",Cleaner,Building/Custodial Staff
Public Library,"CLEANER, PART-TIME",Cleaner,Building/Custodial Staff
Public Library,"CLEANER, PART-TIME, SUBSTITUTE",Cleaner,Building/Custodial Staff
Public Library,"CLEANER, PT",Cleaner,Building/Custodial Staff
Public Library,clerk,Library Clerk,Support Staff
Public Library,CLERK,Library Clerk,Support Staff
Public Library,CLERK ,Library Clerk,Support Staff
Public Library,CLERK (ACD),Library Clerk,Support Staff
Public Library,CLERK (FINANCE ETC),Library Clerk,Support Staff
Public Library,CLERK (LIBRARY),Library Clerk,Support Staff
Public Library,CLERK COMPET.,Library Clerk,Support Staff
Public Library,clerk i,Library Clerk,Support Staff
Public Library,clerk ii,Library Clerk,Support Staff
Public Library,CLERK P/T,Library Clerk,Support Staff
Public Library,CLERK PT,Library Clerk,Support Staff
Public Library,CLERK TYPIST,Library Clerk,Support Staff
Public Library,CLERK-ILLUSTRATOR,Library Clerk,Support Staff
Public Library,"CLERK-TYPIST, P-T",Library Clerk,Support Staff
Public Library,"CLERK, BILINGUAL (ACO)",Library Clerk,Support Staff
Public Library,"CLERK, P-T",Library Clerk,Support Staff
Public Library,clerks,Library Clerk,Support Staff
Public Library,CMNTY SVC INF ASST,Community Services Information Assistant,Support Staff
Public Library,COMMUNITY SERVICE INFORMATION  ASSISTANT,Community Services Information Assistant,Support Staff
Public Library,COMMUNITY SERVICES INFORMATION ASSISTANT (EHP),Community Services Information Assistant,Support Staff
Public Library,COMP GRAPH TEC ,Computer Graphics Technician,Marketing
Public Library,COMPUTER SERVICES CLERK,Computer Support Technician I,Information Technology
Public Library,COMPUTER SUPPORT TECHNICIAN I,Computer Support Technician II,Information Technology
Public Library,COMPUTER SUPPORT TECHNICIAN II,Computer Support Technician I,Information Technology
Public Library,COMPUTER TECHNICIAN,Computer Support Technician I,Information Technology
Public Library,COORDINATOR CIRCULATION,Circulation Coordinator,Support Staff
Public Library,CULTURAL PRGM SPEC,Cultural Programming Specialist,Support Staff
Public Library,CULTURAL PROGRAM SPECIALIST,Cultural Programming Specialist,Support Staff
Public Library,CULTURAL PROGRAM SPECIALIST (LSK),Cultural Programming Specialist,Support Staff
Public Library,CULTURAL PROGRAM SPECIALIST (PART-TIME),Cultural Programming Specialist,Support Staff
Public Library,CULTURAL PROGRAM SPECIALIST P/T,Cultural Programming Specialist,Support Staff
Public Library,CUST WKR II,Custodial Worker II,Building/Custodial Staff
Public Library,CUST WKR III ,Custodial Worker III,Building/Custodial Staff
Public Library,CUST WORKER I,Custodial Worker I,Building/Custodial Staff
Public Library,CUSTODIAL WORKER,Custodial Worker I,Building/Custodial Staff
Public Library,CUSTODIAL WORKER I,Custodial Worker I,Building/Custodial Staff
Public Library,CUSTODIAL WORKER I - PART-TIME,Custodial Worker I,Building/Custodial Staff
Public Library,CUSTODIAL WORKER II,Custodial Worker II,Building/Custodial Staff
Public Library,CUSTODIAL WORKER II ,Custodial Worker II,Building/Custodial Staff
Public Library,CUSTODIAL WORKER III,Custodial Worker III,Building/Custodial Staff
Public Library,custodian,Custodian,Building/Custodial Staff
Public Library,CUSTODIAN,Custodian,Building/Custodial Staff
Public Library,CUSTODIAN ,Custodian,Building/Custodial Staff
Public Library,CUSTODIAN (1MA),Custodian,Building/Custodial Staff
Public Library,CUSTODIAN I,Custodial Worker I,Building/Custodial Staff
Public Library,CUSTODIAN I ,Custodial Worker I,Building/Custodial Staff
Public Library,CUSTODIAN II,Custodial Worker II,Building/Custodial Staff
Public Library,CUSTODIAN II ,Custodial Worker II,Building/Custodial Staff
Public Library,CUSTODIAN III,Custodial Worker III,Building/Custodial Staff
Public Library,dept. head,Librarian II (Dept Head),Librarian
Public Library,digital technician pt,Information Specialist I,Information Technology
Public Library,director,Director,Library Administration
Public Library,DIRECTOR,Director,Library Administration
Public Library,DRIVER MESSENGER,Driver Messenger,Support Staff
Public Library,ECK INFORMATION SPECIALIST I,Information Specialist I,Information Technology
Public Library,EDUCATION & COMMUNITY OUTREACH COORDINATOR,Education and Community Outreach Coordinator,Librarian
Public Library,EHP COMMUNITY SERVICES INFORMATION ASST.,Community Services Information Assistant,Support Staff
